Year,Month,ProductName,Product_Code,Price,Lag_1,Lag_2,Predicted_Units,Recommended_Inventory,Risk
2026,3,Histalis,60,2740114.145,14903,15503.0,13973.49790654937,17466.872383186714,Stable
2026,4,Histalis,60,2740114.145,14903,15503.0,13420.547998974176,16775.68499871772,Stable
2026,1,IBANDRO,61,446.25,1,1.0,26.57702478677635,33.221280983470436,Stock-out
2026,2,IBANDRO,61,446.25,1,1.0,166.83308882766568,208.5413610345821,Stock-out
2026,3,IBANDRO,61,446.25,1,1.0,232.8897050647236,291.1121313309045,Stock-out
2026,4,IBANDRO,61,446.25,1,1.0,-216.78654484538683,-270.98318105673354,Overstock
2026,1,Inosita,62,15411532.5799989,14869,13930.0,14794.962504903271,18493.70313112909,Stable
2026,2,Inosita,62,15411532.5799989,14869,13930.0,14330.271345074707,17912.839181343385,Stable
2026,3,Inosita,62,15411532.5799989,14869,13930.0,14396.327961311767,17995.409951639707,Stable
2026,4,Inosita,62,15411532.5799989,14869,13930.0,13843.378053736573,17304.222567170717,Stable
2026,1,Inosita Plus,63,144340194.26851,161561,153165.0,155277.011473468,194096.26434183502,Stable
2026,2,Inosita Plus,63,144340194.26851,161561,153165.0,154416.10542943273,193020.1317867909,Stable
2026,3,Inosita Plus,63,144340194.26851,161561,153165.0,155634.58667420683,194543.23334275855,Stable
2026,4,Inosita Plus,63,144340194.26851,161561,153165.0,150279.11042794178,187848.88803492722,Stable
2026,1,Iprazyme,64,2729445.285,5643,2091.0,5025.8449285497445,6282.306160687181,Stock-out
2026,2,Iprazyme,64,2729445.285,5643,2091.0,4886.73336838651,6108.416710483138,Stock-out
2026,3,Iprazyme,64,2729445.285,5643,2091.0,4952.789984623568,6190.9874807794595,Stock-out
2026,4,Iprazyme,64,2729445.285,5643,2091.0,4399.840077048379,5499.800096310473,Stock-out
2026,1,Iprazyme-S,65,4167082.5,7054,3315.0,6768.230177528386,8460.287721910483,Stock-out
2026,2,Iprazyme-S,65,4167082.5,7054,3315.0,6629.118617365151,8286.39827170644,Stable
2026,3,Iprazyme-S,65,4167082.5,7054,3315.0,6695.175233602209,8368.969042002762,Stable
2026,4,Iprazyme-S,65,4167082.5,7054,3315.0,6142.22532602702,7677.781657533775,Stable
2026,1,Itipso,66,2442425.7,13093,12627.0,13035.706867628393,16294.633584535492,Stable
2026,2,Itipso,66,2442425.7,13093,12627.0,12414.143899094131,15517.679873867664,Stable
2026,3,Itipso,66,2442425.7,13093,12627.0,12480.200515331191,15600.250644163989,Stable
